Title;Description;Price;Category;SubCategory;ImageUrl
Classic Beef Burger;Juicy beef patty with lettuce, tomato, pickles and special sauce;8.99;Fast Food;Burgers;https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=400&q=80
BBQ Bacon Burger;Smoky BBQ sauce, crispy bacon, cheddar and caramelised onions;10.99;Fast Food;Burgers;https://images.unsplash.com/photo-1553979459-d2229ba7433b?w=400&q=80
Mushroom Swiss Burger;Sautéed mushrooms, melted Swiss cheese and Dijon mustard;11.50;Fast Food;Burgers;https://images.unsplash.com/photo-1550317138-10000687a72b?w=400&q=80
Crispy Chicken Sandwich;Golden fried chicken fillet with coleslaw and sriracha mayo;9.50;Fast Food;Sandwiches;https://images.unsplash.com/photo-1562967914-51eb2fd1d9d6?w=400&q=80
Tuna Club Sandwich;Tuna, egg, tomato and lettuce layered on toasted bread;8.50;Fast Food;Sandwiches;https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400&q=80
Veggie Wrap;Grilled vegetables, hummus and mixed greens in a whole-wheat wrap;7.99;Fast Food;Wraps;https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400&q=80
Margherita Pizza;Classic tomato sauce, fresh mozzarella and basil leaves;12.99;World Cuisine;Pizza;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&q=80
Pepperoni Pizza;Loaded with spicy pepperoni and melted mozzarella;14.99;World Cuisine;Pizza;https://images.unsplash.com/photo-1513104890138-7c749659a591?w=400&q=80
Spaghetti Carbonara;Creamy egg and pecorino sauce with crispy pancetta;13.50;World Cuisine;Pasta;https://images.unsplash.com/photo-1551183053-bf91798d773e?w=400&q=80
Penne Arrabbiata;Spicy tomato sauce with garlic, chili flakes and fresh parsley;11.99;World Cuisine;Pasta;https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=400&q=80
Salmon Sushi Roll;Fresh salmon, cucumber and avocado roll — 8 pieces;16.99;World Cuisine;Sushi;https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=400&q=80
Mixed Sushi Platter;12-piece assorted nigiri and maki selection;22.99;World Cuisine;Sushi;https://images.unsplash.com/photo-1617196034183-421b4040ed20?w=400&q=80
Chicken Tacos;Grilled chicken with pico de gallo, avocado and lime — 3 tacos;10.99;World Cuisine;Tacos;https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400&q=80
Couscous Merguez;Traditional semolina couscous with spicy merguez sausage and seven vegetables;13.99;Tunisian Cuisine;Couscous;https://images.unsplash.com/photo-1590846406792-0adc7f938f1d?w=400&q=80
Couscous Poulet;Slow-cooked chicken couscous with harissa, chickpeas and turnip;12.99;Tunisian Cuisine;Couscous;https://images.unsplash.com/photo-1590846406792-0adc7f938f1d?w=400&q=80
Brik au Thon;Crispy fried pastry filled with tuna, egg, capers and parsley;4.99;Tunisian Cuisine;Briks;https://images.unsplash.com/photo-1598103442097-8b74394b95c8?w=400&q=80
Kafteji;Fried mixed vegetables — peppers, tomato, pumpkin — topped with egg and harissa;6.99;Tunisian Cuisine;Street Food;https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400&q=80
Lablabi;Hearty chickpea soup with crusty bread, harissa, olive oil and cumin;5.99;Tunisian Cuisine;Soups;https://images.unsplash.com/photo-1547592180-85f173990554?w=400&q=80
Merguez Grillée;Spicy lamb sausages grilled over charcoal, served with khobz and harissa;9.99;Tunisian Cuisine;Grills;https://images.unsplash.com/photo-1558030137-a56c1b004fa3?w=400&q=80
Makloub;Fried eggplant, potato and tomato layered sandwich with harissa sauce;5.50;Tunisian Cuisine;Street Food;https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400&q=80
Tiramisu;Classic Italian dessert with mascarpone cream, espresso and cocoa powder;5.99;Desserts & Drinks;Desserts;https://images.unsplash.com/photo-1578985545062-70e18a3f5bde?w=400&q=80
Chocolate Lava Cake;Warm chocolate cake with a molten centre, served with vanilla ice cream;6.99;Desserts & Drinks;Desserts;https://images.unsplash.com/photo-1551024601-bec78aea704b?w=400&q=80
Fresh Orange Juice;Freshly squeezed Tunisian oranges — large glass;3.99;Desserts & Drinks;Juices;https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=80
Mango Smoothie;Blended fresh mango with natural yogurt and honey;4.99;Desserts & Drinks;Juices;https://images.unsplash.com/photo-1556679343-c7306c1976ad?w=400&q=80
